Year,Arizona,California,Colorado,Idaho,Montana,Nebraska,Nevada,New Mexico,North Dakota,Oregon,South Dakota,Utah,Washington,Wyoming,Grand Total
2000,16400,55048,364039,313897,104489,-1,2411,46750,-1,107836,13598,57957,149801,89214,1321439
2001,88318,78263,427892,396023,224724,-1,9773,72002,-1,118187,140064,140164,289287,210740,2195437
2002,517620,911818,669735,588357,395997,-1,73886,177279,-1,339046,117576,105441,329942,272549,4499246
2003,1694985,2902483,1836753,650865,440515,10320,402198,909671,-1,550683,238196,363830,630829,290766,10922095
2004,139255,1706069,1448787,1089003,669578,12080,806038,293502,-1,670863,101482,565237,719644,668717,8890255
2005,39050,850393,1191419,683766,1081897,1525,53792,168314,-1,467786,23861,325398,850307,742074,6479582
2006,31117,309745,1149107,366556,923413,3242,24571,180177,-1,453670,41246,122790,419423,494458,4519514
2007,21910,196803,1471832,439626,836790,789,14521,123955,-1,593374,27388,434801,541106,1070496,5773390
2008,10617,171082,1575775,1292156,1831838,7232,32057,99976,-1,614447,26472,358634,493782,1189505,7703573
2009,2047,367549,1367813,2084867,3563819,169,128803,36682,-1,448317,23292,271315,664584,1256846,10216102
2010,21084,684893,1370155,2049117,2089476,92,28560,20946,-1,536969,44636,279134,361599,1015098,8501760
2011,5502,508658,1212201,887604,992239,380,21064,166700,-1,301418,66240,98129,180693,800405,5241232
2012,34518,399051,817981,772749,636947,9,7710,172159,-1,258877,30431,56951,263290,204848,3655520
2013,166996,378432,762019,355976,546116,321,3786,339896,-1,344271,33463,100326,160184,144622,3336410
2014,137296,799080,741514,377695,618714,8332,29091,200028,36,410250,15716,147372,217217,246430,3948773
2015,37019,2444496,567987,231957,191457,1042,7735,120628,-1,468781,15162,145878,115155,129742,4477039
2016,111831,3968421,503602,188820,49977,53,11684,104198,4,533363,2272,146487,222988,64253,5907953
2017,44882,2409527,287557,150977,37758,30,26982,83646,-1,479107,3672,130122,283029,48361,3985650
2018,275873,1700429,245936,231823,61190,17,20152,118089,7,469045,391,162094,221946,34396,3541387
2019,428988,2094370,168353,189436,75743,6,23898,202501,-1,626434,35,59416,372946,29831,4271956
2020,80613,27152,76472,30756,63054,-1,5295,60762,-1,256533,19,446,252076,1257,854433
