date,min_temperature,max_temperature,precipitation,snowfall
2020-01-01,40,10,0.00,0.0
2020-01-02,41,28,0.00,0.0
2020-01-03,37,26,0.00,0.0
2020-01-04,41,27,0.00,0.0
2020-01-05,55,28,0.00,0.0
2020-01-06,35,23,0,0
2020-01-07,36,26,0.00,0.0
2020-01-08,48,24,0.00,0.0
2020-01-09,50,24,0.00,0.0
2020-01-10,37,15,0.00,0.0
2020-01-11,31,6,0.00,0.0
2020-01-12,40,21,0.00,0.0
2020-01-13,32,13,0.00,0.0
2020-01-14,34,14,0.00,0.0
2020-01-15,47,18,0.00,0.0
2020-01-16,40,11,0.00,0.0
2020-01-17,36,11,0.00,0.0
2020-01-18,47,22,0.00,0.0
2020-01-19,39,21,0.00,0.0
2020-01-20,41,14,0.00,0.0
2020-01-21,43,14,0.00,0.0
2020-01-22,48,32,0.00,0.0
2020-01-23,42,23,0.00,0.0
2020-01-24,37,23,0.00,0.0
2020-01-25,44,33,0.00,0.0
2020-01-26,43,31,0.00,0.0
2020-01-27,46,28,0.00,0.0
2020-01-28,37,27,0.00,0.0
2020-01-29,40,25,0.00,0.0
2020-01-30,36,19,0.00,0.0
2020-01-31,35,13,0.00,0.0
2020-02-01,41,27,0.00,0.0
2020-02-02,49,28,0.00,0.0
2020-02-03,63,21,0.00,0.0
2020-02-04,22,3,0.36,4.0
2020-02-05,13,-8,0,0
2020-02-06,23,10,0.00,0.0
2020-02-07,34,17,0.13,1.5
2020-02-08,34,18,0.32,4.0
2020-02-09,49,21,0.09,2.0
2020-02-10,27,8,0.10,1.0
2020-02-11,27,-0,0.19,4.0
2020-02-12,32,-0,0.00,0.0
2020-02-13,32,11,0.20,4.0
2020-02-14,39,7,0.00,0.0
2020-02-15,50,17,0.00,0.0
2020-02-16,41,17,0.00,0.0
2020-02-17,45,24,0.04,1.0
2020-02-18,36,6,0.05,1.0
2020-02-19,27,5,0.00,0.0
2020-02-20,19,-6,0.11,4.0
2020-02-21,33,-6,0.00,0.0
2020-02-22,52,12,0.00,0.0
2020-02-23,54,28,0.00,0.0
2020-02-24,37,22,0.01,0.1
2020-02-25,33,10,0.00,0.0
2020-02-26,21,-0,0.00,0.0
2020-02-27,34,18,0.00,0.0
2020-02-28,40,27,0.00,0.0
2020-02-29,50,26,0.00,0.0
2020-03-01,53,24,0.00,0.0
2020-03-02,33,13,0.28,2.5
2020-03-03,40,16,0.00,0.0
2020-03-04,48,20,0.00,0.0
2020-03-05,52,21,0.00,0.0
2020-03-06,45,23,0.00,0.0
2020-03-07,58,28,0.00,0.0
2020-03-08,58,28,0.00,0.0
2020-03-09,58,28,0.08,0.0
2020-03-10,51,27,0.00,0.0
2020-03-11,52,39,0.00,0.0
2020-03-12,56,39,0.00,0.0
2020-03-13,46,27,0.00,0.0
2020-03-14,32,24,0.13,2.5
2020-03-15,32,22,0.00,0.0
2020-03-16,46,22,0.00,0.0
2020-03-17,51,28,0.00,0.0
2020-03-18,48,28,0.00,0.0
