date,max_temperature,min_temperature,precipitation,snowfall
2020-01-01,52,21,0.00,0.0
2020-01-02,59,23,0.00,0.0
2020-01-03,51,21,0.00,0.0
2020-01-04,53,22,0.00,0.0
2020-01-05,66,31,0.00,0.0
2020-01-06,47,19,0.00,0.0
2020-01-07,49,29,0.00,0.0
2020-01-08,59,32,0.00,0.0
2020-01-09,62,33,0.00,0.0
2020-01-10,50,19,0.00,0.0
2020-01-11,46,8,0.00,0.0
2020-01-12,56,13,0.00,0.0
2020-01-13,46,17,0.00,0.0
2020-01-14,49,26,0.00,0.0
2020-01-15,60,18,0.00,0.0
2020-01-16,46,12,0.00,0.0
2020-01-17,35,12,0.00,0.0
2020-01-18,54,14,0,0
2020-01-19,44,12,0.00,0.0
2020-01-20,48,17,0.00,0.0
2020-01-21,58,27,0.00,0.0
2020-01-22,50,25,0.00,0.0
2020-01-23,56,15,0.00,0.0
2020-01-24,49,15,0.00,0.0
2020-01-25,57,23,0.00,0.0
2020-01-26,58,16,0.00,0.0
2020-01-27,56,18,0.00,0.0
2020-01-28,54,27,0.09,0
2020-01-29,49,19,0.00,0.0
2020-01-30,44,22,0.00,0.0
2020-01-31,50,15,0.00,0.0
2020-02-01,57,27,0.00,0.0
2020-02-02,66,37,0.00,0.0
2020-02-03,74,24,0.00,0.0
2020-02-04,29,10,0.43,5.2
2020-02-05,21,-3,0.04,0.4
2020-02-06,30,4,0.00,0.0
2020-02-07,44,22,0.22,3.0
2020-02-08,29,6,0.02,0.4
2020-02-09,48,7,0.00,0.0
2020-02-10,30,16,0.04,0.3
2020-02-11,33,14,0.14,2.3
2020-02-12,35,14,0.00,0.0
2020-02-13,40,17,0,0
2020-02-14,31,9,0.00,0.0
2020-02-15,59,23,0.00,0.0
2020-02-16,40,19,0.00,0.0
2020-02-17,57,21,0.00,0.0
2020-02-18,48,21,0.14,1.3
2020-02-19,31,14,0.03,0.3
2020-02-20,30,1,0.08,1.1
2020-02-21,33,11,0.00,0.0
2020-02-22,62,25,0.00,0.0
2020-02-23,61,28,0.00,0.0
2020-02-24,38,28,0.33,0.4
2020-02-25,49,12,0.00,0.0
2020-02-26,33,11,0.00,0.0
2020-02-27,45,14,0.00,0.0
2020-02-28,55,28,0.00,0.0
2020-02-29,64,30,0.00,0.0
2020-03-01,63,26,0.00,0.0
2020-03-02,61,27,0.20,2.6
2020-03-03,57,22,0.00,0.0
2020-03-04,65,25,0.00,0.0
2020-03-05,67,30,0.00,0.0
2020-03-06,56,25,0.00,0.0
2020-03-07,69,35,0.00,0.0
2020-03-08,69,34,0.00,0.0
2020-03-09,68,28,0.00,0.0
2020-03-10,65,30,0.00,0.0
2020-03-11,67,39,0.00,0.0
2020-03-12,71,45,0.00,0.0
2020-03-13,71,34,0,0
2020-03-14,34,24,0.29,0.8
2020-03-15,41,24,0.03,0.0
2020-03-16,45,23,0,0.0
2020-03-17,65,29,0.07,0.0
2020-03-18,53,29,0.00,0.0
2020-03-19,65,32,0,0.0
2020-03-20,51,26,0.11,0.0
2020-03-21,34,17,0,0
2020-03-22,55,18,0.00,0.0
2020-03-23,61,23,0.00,0.0
2020-03-24,60,25,0.00,0.0
2020-03-25,68,28,0.00,0.0
2020-03-26,69,30,0.00,0.0
2020-03-27,69,27,0.00,0.0
2020-03-28,61,28,0.00,0.0
2020-03-29,55,24,0.00,0.0
2020-03-30,56,30,0.00,0.0
2020-03-31,60,28,0.02,0.0
2020-04-01,71,37,0.00,0.0
2020-04-02,66,29,0.00,0.0
2020-04-03,50,22,0.16,2.2
2020-04-04,37,19,0.02,0.2
2020-04-05,58,20,0.00,0.0
2020-04-06,73,33,0.00,0.0
2020-04-07,75,38,0.00,0.0
2020-04-08,76,37,0.00,0.0
2020-04-09,77,31,0.00,0.0
2020-04-10,61,30,0.00,0.0
2020-04-11,72,37,0.00,0.0
2020-04-12,71,30,0.00,0.0
2020-04-13,30,20,0.05,1.1
2020-04-14,32,6,0.06,0.8
2020-04-15,51,13,0.00,0.0
2020-04-16,62,22,0.00,0.0
2020-04-17,48,15,0.15,2.3
2020-04-18,54,17,0.00,0.0
2020-04-19,66,31,0,0.0
2020-04-20,63,31,0.02,0.0
2020-04-21,67,34,0,0.0
2020-04-22,70,43,0,0.0
2020-04-23,69,40,0,0.0
2020-04-24,67,37,0.02,0.0
2020-04-25,68,28,0.00,0.0
2020-04-26,70,37,0.00,0.0
2020-04-27,79,45,0.00,0.0
2020-04-28,82,44,0.00,0.0
2020-04-29,80,36,0.00,0.0
2020-04-30,73,44,0.00,0.0
2020-05-01,86,49,0.00,0.0
2020-05-02,87,52,0.00,0.0
2020-05-03,69,52,0.00,0.0
2020-05-04,81,44,0.00,0.0
2020-05-05,79,39,0.00,0.0
2020-05-06,73,36,0.00,0.0
2020-05-07,68,42,0.00,0.0
2020-05-08,81,33,0.00,0.0
2020-05-09,61,31,0.00,0.0
2020-05-10,68,29,0.00,0.0
2020-05-11,67,34,0.00,0.0
2020-05-12,60,38,0.13,0.0
2020-05-13,60,32,0.00,0.0
2020-05-14,82,40,0.00,0.0
2020-05-15,76,40,0,0.0
2020-05-16,74,46,0,0.0
2020-05-17,76,47,0.00,0.0
2020-05-18,80,45,0.00,0.0
2020-05-19,87,46,0.00,0.0
2020-05-20,85,52,0,0.0
2020-05-21,84,44,0.00,0.0
2020-05-22,79,45,0.00,0.0
2020-05-23,83,42,0.00,0.0
2020-05-24,84,51,0.00,0.0
2020-05-25,66,39,0.30,0.0
2020-05-26,67,41,0.00,0.0
2020-05-27,81,50,0.00,0.0
2020-05-28,84,51,0.02,0.0
2020-05-29,81,48,0.03,0.0
2020-05-30,87,54,0.01,0.0
2020-05-31,88,57,0.49,0.0
2020-06-01,87,58,0.07,0.0
2020-06-02,88,57,0.27,0.0
2020-06-03,85,55,0.06,0.0
2020-06-04,86,55,0.19,0.0
2020-06-05,90,58,0,0.0
2020-06-06,91,58,0,0.0
2020-06-07,79,43,0.07,0.0
2020-06-08,87,55,0.00,0.0
2020-06-09,84,44,0.03,0.0
2020-06-10,70,46,0.00,0.0
2020-06-11,77,49,0.00,0.0
2020-06-12,85,48,0.00,0.0
2020-06-13,88,51,0.00,0.0
2020-06-14,89,57,0.04,0.0
2020-06-15,90,57,0.00,0.0
2020-06-16,92,61,0.00,0.0
2020-06-17,93,56,0.00,0.0
2020-06-18,93,58,0.00,0.0
2020-06-19,77,52,0.13,0.0
2020-06-20,65,49,0.08,0.0
2020-06-21,89,53,0.00,0.0
2020-06-22,89,52,0,0.0
2020-06-23,83,52,0,0.0
2020-06-24,82,56,0,0.0
2020-06-25,89,59,0.00,0.0
2020-06-26,93,54,0.07,0.0
2020-06-27,86,53,0.00,0.0
2020-06-28,91,59,0.00,0.0
2020-06-29,93,57,0.00,0.0
2020-06-30,86,59,0.00,0.0
2020-07-01,85,46,0.00,0.0
2020-07-02,84,51,0.00,0.0
2020-07-03,91,56,0.00,0.0
2020-07-04,88,58,0,0.0
2020-07-05,88,53,0.15,0.0
2020-07-06,84,59,0.02,0.0
2020-07-07,91,56,0.00,0.0
2020-07-08,93,64,0.02,0.0
2020-07-09,95,65,0.00,0.0
2020-07-10,95,66,0.00,0.0
2020-07-11,99,67,0.00,0.0
2020-07-12,95,60,0.00,0.0
2020-07-13,94,61,0.40,0.0
2020-07-14,94,70,0.03,0.0
2020-07-15,94,60,0.02,0.0
2020-07-16,88,59,0.26,0.0
2020-07-17,90,64,0,0.0
2020-07-18,93,64,0.04,0.0
2020-07-19,92,61,0,0.0
2020-07-20,89,58,0.02,0.0
2020-07-21,91,54,0,0.0
2020-07-22,86,59,0.02,0.0
2020-07-23,89,62,0.00,0.0
2020-07-24,92,67,0.00,0.0
2020-07-25,91,63,0,0.0
2020-07-26,84,63,0.08,0.0
2020-07-27,86,60,0.76,0.0
2020-07-28,81,59,0.34,0.0
2020-07-29,82,58,0.64,0.0
2020-07-30,88,55,0.00,0.0
2020-07-31,85,59,0,0.0
2020-08-01,84,59,0.05,0.0
2020-08-02,86,60,0.01,0.0
2020-08-03,83,55,0,0.0
2020-08-04,77,54,0,0.0
2020-08-05,94,56,0,0.0
2020-08-06,90,59,0.02,0.0
2020-08-07,93,57,0.00,0.0
2020-08-08,95,63,0.00,0.0
2020-08-09,92,61,0,0.0
2020-08-10,96,66,0.00,0.0
2020-08-11,93,60,0.00,0.0
2020-08-12,94,54,0.00,0.0
2020-08-13,93,60,0.00,0.0
2020-08-14,94,59,0.00,0.0
2020-08-15,97,55,0.00,0.0
2020-08-16,90,55,0,0.0
2020-08-17,92,57,0,0.0
2020-08-18,91,58,0.03,0.0
2020-08-19,93,66,0,0.0
2020-08-20,92,58,0,0.0
2020-08-21,94,61,0.02,0.0
2020-08-22,90,64,0.00,0.0
2020-08-23,95,58,0.00,0.0
2020-08-24,92,62,0.00,0.0
2020-08-25,95,65,0,0.0
2020-08-26,96,62,0.05,0.0
2020-08-27,92,63,0,0.0
2020-08-28,93,63,0.00,0.0
2020-08-29,81,55,0.18,0.0
2020-08-30,77,58,0.21,0.0
2020-08-31,86,49,0,0.0
2020-09-01,77,48,0.03,0.0
2020-09-02,80,49,0.00,0.0
2020-09-03,88,53,0.00,0.0
2020-09-04,80,51,0.00,0.0
2020-09-05,91,58,0.00,0.0
2020-09-06,95,64,0.00,0.0
2020-09-07,97,58,0.00,0.0
2020-09-08,89,40,0.00,0.0
2020-09-09,44,30,0.60,4.5
2020-09-10,40,30,0.14,0
2020-09-11,50,35,0.00,0.0
2020-09-12,71,36,0.00,0.0
2020-09-13,79,46,0.00,0.0
2020-09-14,83,47,0.00,0.0
2020-09-15,83,51,0.00,0.0
2020-09-16,85,51,0.00,0.0
2020-09-17,80,47,0.00,0.0
2020-09-18,81,51,0.00,0.0
2020-09-19,82,52,0.00,0.0
2020-09-20,86,58,0.00,0.0
2020-09-21,86,57,0.00,0.0
2020-09-22,86,56,0.15,0.0
2020-09-23,85,56,0,0.0
2020-09-24,81,53,0.00,0.0
2020-09-25,87,52,0.00,0.0
2020-09-26,90,58,0.00,0.0
2020-09-27,88,43,0.00,0.0
2020-09-28,67,37,0.00,0.0
2020-09-29,64,37,0.00,0.0
2020-09-30,80,46,0.00,0.0
2020-10-01,77,36,0.00,0.0
2020-10-02,66,38,0.00,0.0
2020-10-03,80,38,0.00,0.0
2020-10-04,68,37,0.00,0.0
2020-10-05,79,46,0.00,0.0
2020-10-06,85,46,0.00,0.0
2020-10-07,84,45,0.00,0.0
2020-10-08,83,46,0.00,0.0
