date,max_temperature,min_temperature,precipitation,snowfall
2020-01-01,24,3,0.06,0
2020-01-02,24,4,0,0
2020-01-03,24,14,0,0
2020-01-04,28,1,0.00,0
2020-01-05,33,4,0.00,0
2020-01-06,30,13,0.02,0
2020-01-07,30,12,0.00,0
2020-01-08,36,-2,0.00,0
2020-01-09,33,8,0.00,0
2020-01-10,21,2,0.01,0
2020-01-11,13,-15,0,0
2020-01-12,19,-2,0,0
2020-01-13,24,12,0,0
2020-01-14,32,2,0.00,0
2020-01-15,30,4,0,0
2020-01-16,28,-9,0.00,0
2020-01-17,25,2,0.14,0
2020-01-18,20,-8,0.00,0
2020-01-19,27,3,0.00,0
2020-01-20,27,-14,0.00,0
2020-01-21,33,-14,0.00,0
2020-01-22,31,19,0,0
2020-01-23,28,14,0,0
2020-01-24,33,21,0,0
2020-01-25,30,21,0.00,0
2020-01-26,35,18,0.00,0
2020-01-27,31,17,0.00,0
2020-01-28,26,13,0.00,0
2020-01-29,26,6,0.00,0
2020-01-30,25,9,0.04,0
2020-01-31,25,-5,0.00,0
2020-02-01,33,19,0.00,0
2020-02-02,46,-3,0.00,0
2020-02-03,43,20,0,0
2020-02-04,22,3,0.27,0
2020-02-05,6,-27,0.00,0
2020-02-06,16,-2,0.34,0
2020-02-07,27,15,0.37,0
2020-02-08,36,25,0.08,0
2020-02-09,35,15,0.15,0
2020-02-10,21,-5,0.00,0
2020-02-11,20,-11,0.00,0
2020-02-12,18,-6,0,0
2020-02-13,22,1,0.03,0
2020-02-14,35,-9,0.00,0
2020-02-15,32,6,0.00,0
2020-02-16,29,21,0.13,0
2020-02-17,30,17,0.08,0
2020-02-18,20,-11,0,0
2020-02-19,23,-2,0.00,0
2020-02-20,23,-28,0.03,0
2020-02-21,21,-26,0.00,0
2020-02-22,34,-8,0.00,0
2020-02-23,34,16,0.01,0
2020-02-24,28,2,0.01,0
2020-02-25,16,7,0,0
2020-02-26,19,-20,0.00,0
2020-02-27,28,16,0.00,0
2020-02-28,34,-2,0.00,0
2020-02-29,36,-5,0.00,0
2020-03-01,41,8,0.00,0
2020-03-02,35,22,0.00,0
2020-03-03,30,-2,0.00,0
2020-03-04,38,-5,0.00,0
2020-03-05,38,2,0.00,0
2020-03-06,44,2,0.00,0
2020-03-07,44,8,0.00,0
2020-03-08,45,19,0.00,0
2020-03-09,41,23,0.01,0
2020-03-10,41,20,0.07,0
2020-03-11,41,23,0.00,0
2020-03-12,41,30,0,0
2020-03-13,41,20,0.00,0
2020-03-14,39,27,0,0
2020-03-15,43,15,0.00,0
2020-03-16,44,15,0.00,0
2020-03-17,46,22,0.00,0
2020-03-18,46,15,0.00,0
2020-03-19,41,22,0.12,0
2020-03-20,33,19,0.19,0
2020-03-21,37,11,0.00,0
2020-03-22,36,21,0,0
2020-03-23,36,16,0.00,0
2020-03-24,40,26,0.14,0
2020-03-25,40,28,0.00,0
2020-03-26,43,24,0.00,0
2020-03-27,44,16,0.00,0
2020-03-28,28,2,0.03,0
2020-03-29,37,9,0.00,0
2020-03-30,38,22,0,0
2020-03-31,45,23,0.00,0
2020-04-01,49,24,0.00,0
2020-04-02,48,26,0,0
2020-04-03,32,14,0,0
2020-04-04,43,16,0.00,0
2020-04-05,48,23,0.00,0
2020-04-06,49,23,0.00,0
2020-04-07,49,21,0.00,0
2020-04-08,49,20,0.00,0
2020-04-09,60,20,0.00,0
2020-04-10,58,26,0.00,0
2020-04-11,49,21,0.00,0
2020-04-12,47,22,0.30,0
2020-04-13,30,12,0.00,0
2020-04-14,27,2,0.00,0
2020-04-15,36,20,0.01,0
2020-04-16,37,21,0.53,0
2020-04-17,33,1,0.00,0
2020-04-18,39,7,0,0
2020-04-19,42,27,0,0
2020-04-20,45,26,0,0
2020-04-21,53,22,0.00,0
2020-04-22,55,22,0.00,0
2020-04-23,52,31,0.00,0
2020-04-24,44,26,0.22,0
2020-04-25,47,29,0,0
2020-04-26,51,27,0,0
2020-04-27,56,31,0,0
2020-04-28,57,37,0.00,0
2020-04-29,63,26,0.00,0
2020-04-30,64,26,0.00,0
2020-05-01,64,33,0.00,0
2020-05-02,64,36,0.00,0
2020-05-03,61,33,0,0
2020-05-04,61,36,0.00,0
2020-05-05,53,21,0.00,0
2020-05-06,60,26,0.00,0
2020-05-07,61,34,0.00,0
2020-05-08,55,22,0.00,0
2020-05-09,56,31,0.00,0
2020-05-10,60,23,0.00,0
2020-05-11,59,37,0.30,0
2020-05-12,57,37,0,0
2020-05-13,59,32,0.00,0
2020-05-14,57,33,0.00,0
2020-05-15,55,33,0.00,0
2020-05-16,57,37,0.06,0
2020-05-17,65,30,0.00,0
2020-05-18,73,30,0.00,0
2020-05-19,72,34,0.00,0
2020-05-20,70,45,0.00,0
2020-05-21,57,26,0.00,0
2020-05-22,64,28,0.00,0
2020-05-23,64,32,0.00,0
2020-05-24,60,33,0.31,0
2020-05-25,49,31,0.07,0
2020-05-26,63,27,0.00,0
2020-05-27,63,37,0.03,0
2020-05-28,70,36,0.01,0
2020-05-29,72,39,0,0
2020-05-30,70,41,0,0
2020-05-31,70,42,0.82,0
2020-06-01,76,44,0.00,0
2020-06-02,73,42,0.00,0
2020-06-03,74,39,0,0
2020-06-04,65,39,0.03,0
2020-06-05,77,39,0.00,0
2020-06-06,76,46,0.08,0
2020-06-07,66,33,0,0
2020-06-08,67,34,0.01,0
2020-06-09,67,32,0.83,0
2020-06-10,58,37,0.00,0
2020-06-11,67,32,0.00,0
2020-06-12,73,36,0.00,0
2020-06-13,74,43,0.00,0
2020-06-14,68,42,0.00,0
2020-06-15,70,34,0.00,0
2020-06-16,72,38,0.00,0
2020-06-17,72,37,0.00,0
2020-06-18,70,40,0.00,0
2020-06-19,61,40,0.30,0
2020-06-20,65,32,0.00,0
2020-06-21,65,36,0.00,0
2020-06-22,71,39,0.02,0
2020-06-23,71,41,0.00,0
2020-06-24,74,41,0.00,0
2020-06-25,71,39,0.00,0
2020-06-26,74,41,0.00,0
2020-06-27,68,38,0.02,0
2020-06-28,69,42,0.02,0
2020-06-29,73,41,0.00,0
2020-06-30,75,41,0.04,0
2020-07-01,70,32,0.00,0
2020-07-02,74,40,0.00,0
2020-07-03,77,45,0.00,0
2020-07-04,74,46,0.13,0
2020-07-05,73,41,0.00,0
2020-07-06,77,42,0.00,0
2020-07-07,76,44,0.00,0
2020-07-08,77,37,0.00,0
2020-07-09,76,39,0.00,0
2020-07-10,79,38,0.00,0
2020-07-11,79,38,0.00,0
2020-07-12,80,43,0.00,0
2020-07-13,75,45,0.02,0
2020-07-14,74,46,0,0
2020-07-15,73,43,0,0
2020-07-16,76,48,0.00,0
2020-07-17,73,43,0.00,0
2020-07-18,75,44,0.00,0
2020-07-19,74,44,0.09,0
2020-07-20,75,43,0.00,0
2020-07-21,76,47,0.00,0
2020-07-22,78,45,0.00,0
2020-07-23,74,46,0.05,0
2020-07-24,73,52,0.00,0
2020-07-25,69,54,0.06,0
2020-07-26,71,48,0.07,0
2020-07-27,75,44,0.01,0
2020-07-28,72,49,0.02,0
2020-07-29,72,42,0.05,0
2020-07-30,73,43,0.00,0
2020-07-31,75,42,0.00,0
2020-08-01,77,42,0.00,0
2020-08-02,77,44,0.00,0
2020-08-03,80,45,0.00,0
2020-08-04,78,50,0.00,0
2020-08-05,77,50,0.00,0
2020-08-06,78,50,0.00,0
2020-08-07,76,38,0.00,0
2020-08-08,77,38,0.00,0
2020-08-09,76,38,0.00,0
2020-08-10,77,39,0.00,0
2020-08-11,76,44,0.00,0
2020-08-12,76,38,0.00,0
2020-08-13,76,38,0.00,0
2020-08-14,78,37,0.00,0
2020-08-15,78,38,0.00,0
2020-08-16,79,40,0.00,0
2020-08-17,81,47,0.00,0
2020-08-18,82,45,0.00,0
2020-08-19,78,46,0.00,0
2020-08-20,78,43,0.00,0
2020-08-21,77,41,0,0
2020-08-22,82,40,0.00,0
2020-08-23,81,43,0.00,0
2020-08-24,79,45,0.00,0
2020-08-25,79,45,0.00,0
2020-08-26,77,45,0.00,0
2020-08-27,78,41,0,0
2020-08-28,74,46,0.18,0
2020-08-29,61,41,0.02,0
2020-08-30,70,40,0.03,0
2020-08-31,67,36,0,0
2020-09-01,63,40,0.06,0
2020-09-02,71,33,0,0
2020-09-03,75,35,0.00,0
2020-09-04,77,38,0.00,0
2020-09-05,80,40,0.00,0
2020-09-06,80,38,0.00,0
2020-09-07,76,36,0.00,0
2020-09-08,73,28,0.02,0
2020-09-09,53,26,0.03,0
2020-09-10,56,32,0,0
2020-09-11,52,35,0.56,0
2020-09-12,64,31,0.00,0
2020-09-13,70,32,0.00,0
2020-09-14,71,32,0.00,0
2020-09-15,72,34,0.00,0
2020-09-16,72,32,0.00,0
2020-09-17,70,33,0.00,0
2020-09-18,70,37,0.00,0
2020-09-19,69,39,0.00,0
2020-09-20,65,38,0.00,0
2020-09-21,69,34,0,0
2020-09-22,70,35,0,0
2020-09-23,68,38,0,0
2020-09-24,71,32,0.00,0
2020-09-25,71,34,0.00,0
2020-09-26,70,41,0.00,0
2020-09-27,67,47,0.00,0
2020-09-28,51,20,0.00,0
2020-09-29,65,24,0.00,0
2020-09-30,69,26,0.00,0
2020-10-01,68,27,0.00,0
2020-10-02,64,28,0.00,0
2020-10-03,61,28,0.00,0
2020-10-04,65,28,0.00,0
2020-10-05,65,28,0.00,0
2020-10-06,67,26,0.00,0
2020-10-07,70,28,0.00,0
2020-10-08,72,28,0.00,0
2020-10-09,67,30,0.00,0
2020-10-10,67,31,0.00,0
2020-10-11,65,33,0.04,0
2020-10-12,55,18,0,0
2020-10-13,62,26,0.00,0
2020-10-14,62,26,0.00,0
2020-10-15,55,35,0.00,0
2020-10-16,51,22,0.00,0
2020-10-17,52,36,0.00,0
2020-10-18,56,43,0.00,0
2020-10-19,58,39,0.00,0
2020-10-20,57,35,0.00,0
2020-10-21,60,27,0.00,0
2020-10-22,0,0,0,0
2020-10-23,0,0,0,0
2020-10-24,0,0,0,0
2020-10-25,0,0,0,0
2020-10-26,0,0,0,0
2020-10-27,0,0,0,0
2020-10-28,0,0,0,0
2020-10-29,39,19,0.00,0
2020-10-30,43,20,0.00,0
2020-10-31,47,25,0.00,0
2020-11-01,53,19,0.00,0
2020-11-02,54,22,0.00,0
2020-11-03,54,24,0.00,0
2020-11-04,54,26,0.00,0
2020-11-05,56,26,0.00,0
2020-11-06,51,25,0.00,0
2020-11-07,53,28,0.00,0
2020-11-08,49,28,0.02,0
2020-11-09,36,23,0.36,0
2020-11-10,28,17,0.00,0
2020-11-11,32,20,0.00,0
2020-11-12,31,17,0.00,0
2020-11-13,40,4,0.00,0
2020-11-14,40,19,0.03,0
2020-11-15,35,16,0.00,0
2020-11-16,48,34,0.00,0
2020-11-17,53,21,0.00,0
2020-11-18,52,29,0.00,0
2020-11-19,51,43,0.00,0
2020-11-20,45,27,0.00,0
2020-11-21,42,25,0.00,0
2020-11-22,41,12,0.00,0
2020-11-23,46,27,0.06,0
2020-11-24,43,27,0.08,0
2020-11-25,36,12,0.00,0
2020-11-26,36,12,0.00,0
2020-11-27,33,9,0,0
2020-11-28,35,10,0,0
2020-11-29,34,10,0.00,0
2020-11-30,35,6,0.00,0
2020-12-01,35,13,0.00,0
2020-12-02,23,8,0.00,0
2020-12-03,30,-0,0.00,0
2020-12-04,40,5,0.00,0
2020-12-05,40,9,0.00,0
2020-12-06,39,9,0.00,0
2020-12-07,40,6,0.00,0
2020-12-08,39,6,0.00,0
2020-12-09,39,6,0.00,0
2020-12-10,39,12,0.00,0
2020-12-11,29,19,0.08,0
2020-12-12,27,8,0.06,0
2020-12-13,27,5,0.00,0
2020-12-14,22,1,0.06,0
2020-12-15,22,1,0.02,0
2020-12-16,23,11,0.02,0
2020-12-17,25,3,0.00,0
2020-12-18,28,17,0.03,0
2020-12-19,28,11,0,0
2020-12-20,29,18,0,0
2020-12-21,38,29,0.00,0
2020-12-22,39,14,0.00,0
2020-12-23,37,9,0.03,0
2020-12-24,24,4,0.00,0
2020-12-25,27,-1,0.00,0
2020-12-26,30,2,0.00,0
2020-12-27,34,19,0,0
2020-12-28,24,3,0.03,0
2020-12-29,22,16,0.29,0
2020-12-30,18,-16,0.00,0
2020-12-31,26,-4,0.00,0
2021-01-01,23,-1,0.00,0
2021-01-02,23,2,0.00,0
2021-01-03,29,6,0.00,0
2021-01-04,31,5,0.00,0
2021-01-05,30,9,0,0
2021-01-06,26,3,0.00,0
2021-01-07,24,-7,0.00,0
2021-01-08,25,-4,0.00,0
2021-01-09,25,-4,0.00,0
2021-01-10,23,-8,0.00,0
2021-01-11,21,-14,0.00,0
2021-01-12,19,-13,0.00,0
2021-01-13,33,5,0.00,0
2021-01-14,33,5,0.00,0
2021-01-15,28,-1,0.00,0
2021-01-16,29,-1,0.03,0
2021-01-17,31,21,0.01,0
2021-01-18,31,18,0.06,0
2021-01-19,24,-8,0.00,0
2021-01-20,32,-7,0.00,0
2021-01-21,32,16,0.00,0
2021-01-22,34,22,0.00,0
2021-01-23,33,15,0.08,0
2021-01-24,32,-2,0.00,0
2021-01-25,25,2,0,0
2021-01-26,22,-8,0.05,0
2021-01-27,26,-9,0.00,0
2021-01-28,38,9,0.00,0
2021-01-29,40,4,0.00,0
2021-01-30,41,4,0.00,0
2021-01-31,32,3,0.00,0
2021-02-01,31,-4,0.00,0
2021-02-02,39,2,0.00,0
2021-02-03,40,19,0.02,0
2021-02-04,31,8,0.05,0
2021-02-05,20,14,0,0
2021-02-06,22,16,0.09,0
2021-02-07,32,21,0.13,0
