date,max_temperature,min_temperature,precipitation,snowfall
2020-01-01,24,-26,0,0
2020-01-02,26,5,0.02,0.5
2020-01-03,22,6,0.00,0.0
2020-01-04,25,10,0.00,0.0
2020-01-05,34,4,0.00,0.0
2020-01-06,29,10,0.01,0.4
2020-01-07,27,13,0.00,0.0
2020-01-08,31,8,0.00,0.0
2020-01-09,32,12,0.01,0.3
2020-01-10,23,-7,0.00,0.0
2020-01-11,18,-9,0.00,0.0
2020-01-12,18,4,0,0
2020-01-13,18,10,0,0
2020-01-14,21,11,0.01,0.3
2020-01-15,29,9,0.05,0.9
2020-01-16,28,-10,0.00,0.0
2020-01-17,34,4,0,0
2020-01-18,25,4,0.07,2.2
2020-01-19,21,-3,0.00,0.0
2020-01-20,24,-18,0.00,0.0
2020-01-21,23,-9,0.00,0.0
2020-01-22,34,15,0,0
2020-01-23,31,2,0.00,0.0
2020-01-24,28,13,0.00,0.0
2020-01-25,31,15,0.00,0.0
2020-01-26,30,14,0.00,0.0
2020-01-27,32,23,0.00,0.0
2020-01-28,31,9,0,0
2020-01-29,27,15,0.00,0.0
2020-01-30,27,7,0.01,0.2
2020-01-31,23,-6,0.02,0.3
2020-02-01,25,3,0.00,0.0
2020-02-02,38,22,0.00,0.0
2020-02-03,46,22,0.00,0.0
2020-02-04,34,-1,0.00,0.0
2020-02-05,8,-16,0.00,0.0
2020-02-06,13,-3,0.06,0.9
2020-02-07,23,13,0.26,4.4
2020-02-08,29,16,0.35,6.1
2020-02-09,34,13,0.08,1.3
2020-02-10,18,-7,0.02,0.4
2020-02-11,15,-20,0,0
2020-02-12,16,-18,0.02,0.4
2020-02-13,24,-8,0.06,0.9
2020-02-14,25,5,0.00,0.0
2020-02-15,36,14,0.00,0.0
2020-02-16,29,21,0.00,0.0
2020-02-17,30,13,0.06,1.3
2020-02-18,21,-18,0.00,0.0
2020-02-19,8,-15,0.00,0.0
2020-02-20,13,-19,0.00,0.0
2020-02-21,0,-29,0.00,0.0
2020-02-22,23,-14,0.00,0.0
2020-02-23,34,16,0.02,0.4
2020-02-24,34,6,0.10,2.8
2020-02-25,18,1,0.01,0.3
2020-02-26,11,-23,0.00,0.0
2020-02-27,21,-10,0.00,0.0
2020-02-28,29,9,0.00,0.0
2020-02-29,37,9,0.00,0.0
2020-03-01,37,15,0.00,0.0
2020-03-02,34,3,0.04,1.1
2020-03-03,29,12,0.00,0.0
2020-03-04,34,-4,0.00,0.0
2020-03-05,41,18,0.00,0.0
2020-03-06,40,3,0.00,0.0
2020-03-07,38,10,0.00,0.0
2020-03-08,46,26,0.00,0.0
2020-03-09,41,25,0,0.2
2020-03-10,38,22,0.00,0.0
2020-03-11,37,26,0.00,0.0
2020-03-12,41,28,0.09,0.6
2020-03-13,43,19,0.00,0.0
2020-03-14,37,24,0.13,0.9
2020-03-15,40,20,0.00,0.0
2020-03-16,46,21,0.00,0.0
2020-03-17,48,18,0.00,0.0
2020-03-18,48,16,0.00,0.0
2020-03-19,46,23,0,0.2
2020-03-20,31,12,0.01,0.4
2020-03-21,36,23,0.00,0.0
2020-03-22,38,20,0.13,1.9
2020-03-23,34,18,0,0
2020-03-24,40,26,0,0.3
2020-03-25,43,29,0,0
2020-03-26,43,27,0.00,0.0
2020-03-27,44,21,0.00,0.0
2020-03-28,38,5,0.00,0.0
2020-03-29,32,17,0.00,0.0
2020-03-30,38,18,0.00,0.0
2020-03-31,42,26,0.00,0.0
2020-04-01,49,27,0.00,0.0
2020-04-02,54,14,0.00,0.0
2020-04-03,23,-4,0.09,1.3
2020-04-04,34,10,0.00,0.0
2020-04-05,47,24,0.00,0.0
2020-04-06,54,22,0.00,0.0
2020-04-07,55,22,0.00,0.0
2020-04-08,54,19,0.00,0.0
2020-04-09,54,11,0.00,0.0
2020-04-10,60,27,0.00,0.0
2020-04-11,56,23,0.00,0.0
2020-04-12,52,12,0.13,1.0
2020-04-13,24,4,0,0.2
2020-04-14,18,-3,0,0
2020-04-15,27,14,0.00,0.0
2020-04-16,38,17,0.27,3.3
2020-04-17,24,-4,0.09,1.3
2020-04-18,33,4,0.00,0.0
2020-04-19,41,19,0.00,0.0
2020-04-20,44,19,0,0
2020-04-21,50,14,0.00,0.0
2020-04-22,56,20,0.00,0.0
2020-04-23,54,27,0.00,0.0
2020-04-24,49,27,0.06,0.3
2020-04-25,46,28,0.00,0.0
2020-04-26,51,26,0.00,0.0
2020-04-27,59,21,0,0.0
2020-04-28,64,34,0.00,0.0
2020-04-29,57,18,0.00,0.0
2020-04-30,67,25,0.00,0.0
2020-05-01,71,28,0.01,0.0
2020-05-02,67,34,0.05,0.0
2020-05-03,58,32,0.08,0.0
2020-05-04,64,30,0.35,0.6
2020-05-05,45,14,0.08,0.1
2020-05-06,54,19,0.00,0.0
2020-05-07,62,32,0.00,0.0
2020-05-08,50,16,0.00,0.0
2020-05-09,55,28,0.00,0.0
2020-05-10,53,15,0.00,0.0
2020-05-11,61,30,0.03,0.0
2020-05-12,52,31,0.16,0.0
2020-05-13,64,33,0.00,0.0
2020-05-14,60,35,0.06,0.0
2020-05-15,57,31,0.13,0.0
2020-05-16,53,33,0.26,0.0
2020-05-17,54,26,0.00,0.0
2020-05-18,67,33,0.00,0.0
2020-05-19,74,28,0.00,0.0
2020-05-20,75,41,0.00,0.0
2020-05-21,68,24,0.00,0.0
2020-05-22,56,23,0.00,0.0
2020-05-23,65,33,0.00,0.0
2020-05-24,60,30,0.07,0.6
2020-05-25,44,24,0.10,0.2
2020-05-26,52,24,0.02,0.0
2020-05-27,62,32,0.00,0.0
2020-05-28,65,32,0.00,0.0
2020-05-29,72,34,0.00,0.0
2020-05-30,76,40,0.00,0.0
2020-05-31,78,39,0.05,0.0
2020-06-01,72,40,0.00,0.0
