date,max_temperature,min_temperature,precipitation,snowfall
2020-01-01,54,23,0.00,0.0
2020-01-02,49,32,0.00,0.0
2020-01-03,43,18,0.00,0.0
2020-01-04,54,22,0.00,0.0
2020-01-05,54,28,0.00,0.0
2020-01-06,44,26,0.00,0.0
2020-01-07,56,32,0.00,0.0
2020-01-08,59,23,0.00,0.0
2020-01-09,45,27,0.00,0.0
2020-01-10,36,22,0.00,0.0
2020-01-11,43,9,0.00,0.0
2020-01-12,41,17,0.00,0.0
2020-01-13,44,15,0,0
2020-01-14,55,15,0.00,0.0
2020-01-15,45,24,0.00,0.0
2020-01-16,36,15,0.00,0.0
2020-01-17,51,19,0.00,0.0
2020-01-18,39,21,0.00,0.0
2020-01-19,47,14,0.00,0.0
2020-01-20,49,13,0.00,0.0
2020-01-21,48,28,0.00,0.0
2020-01-22,53,33,0.00,0.0
2020-01-23,43,30,0.00,0.0
2020-01-24,49,20,0.00,0.0
2020-01-25,55,27,0.00,0.0
2020-01-26,52,26,0.00,0.0
2020-01-27,41,28,0.00,0.0
2020-01-28,47,29,0.00,0.0
2020-01-29,45,25,0,0
2020-01-30,42,19,0,0
2020-01-31,54,22,0.00,0.0
2020-02-01,68,27,0.00,0.0
2020-02-02,74,34,0.00,0.0
2020-02-03,55,17,0.16,1.6
2020-02-04,20,13,0.14,2.8
2020-02-05,29,-4,0,0.1
2020-02-06,43,8,0,0
2020-02-07,34,25,0.12,2.8
2020-02-08,45,15,0.06,1.3
2020-02-09,41,23,0,0
2020-02-10,36,12,0.06,1.0
2020-02-11,35,7,0.04,0.8
2020-02-12,39,19,0.02,0.5
2020-02-13,27,17,0.03,0.6
2020-02-14,49,9,0.00,0.0
2020-02-15,41,25,0.00,0.0
2020-02-16,47,23,0.00,0.0
2020-02-17,43,32,0,0
2020-02-18,36,15,0,0.1
2020-02-19,29,19,0.03,1.7
2020-02-20,32,6,0,0.2
2020-02-21,53,9,0.00,0.0
2020-02-22,58,23,0.00,0.0
2020-02-23,47,37,0.00,0.0
2020-02-24,43,25,0.03,0.6
2020-02-25,33,21,0.00,0.0
2020-02-26,42,8,0.00,0.0
2020-02-27,53,24,0.00,0.0
2020-02-28,58,21,0.00,0.0
2020-02-29,56,29,0.00,0.0
2020-03-01,45,29,0.02,0.2
2020-03-02,41,26,0.01,0.3
2020-03-03,65,23,0.00,0.0
2020-03-04,64,22,0.00,0.0
2020-03-05,52,30,0.00,0.0
2020-03-06,68,24,0.00,0.0
2020-03-07,71,34,0.00,0.0
2020-03-08,71,34,0,0.0
2020-03-09,58,37,0.12,0.0
2020-03-10,62,31,0.00,0.0
2020-03-11,68,29,0.00,0.0
2020-03-12,55,33,0.00,0.0
2020-03-13,36,31,0.02,0.1
2020-03-14,37,29,0,0.1
2020-03-15,53,30,0,0.0
2020-03-16,54,28,0.00,0.0
2020-03-17,53,34,0,0.0
2020-03-18,65,27,0.03,0.0
2020-03-19,45,29,0.90,3.3
2020-03-20,30,19,0.04,0.5
2020-03-21,49,13,0.00,0.0
2020-03-22,57,27,0,0.0
2020-03-23,58,27,0,0.0
2020-03-24,65,31,0.00,0.0
2020-03-25,67,38,0.00,0.0
2020-03-26,56,35,0.00,0.0
2020-03-27,49,34,0.15,0
2020-03-28,53,34,0,0
2020-03-29,55,25,0.00,0.0
2020-03-30,62,32,0,0.0
2020-03-31,71,32,0.00,0.0
2020-04-01,69,34,0.00,0.0
2020-04-02,55,21,0.11,1.4
2020-04-03,43,18,0,0
2020-04-04,60,22,0.00,0.0
2020-04-05,69,31,0.00,0.0
2020-04-06,77,34,0.00,0.0
2020-04-07,75,35,0.00,0.0
2020-04-08,70,42,0.00,0.0
2020-04-09,58,35,0.00,0.0
2020-04-10,74,34,0,0
2020-04-11,71,43,0.00,0.0
2020-04-12,60,22,0.11,2.7
2020-04-13,30,16,0.09,1.8
2020-04-14,49,15,0,0.0
2020-04-15,48,30,0,0.0
2020-04-16,38,22,1.30,12.3
2020-04-17,44,8,0.00,0.0
2020-04-18,53,25,0.02,0.0
2020-04-19,57,32,0.00,0.0
2020-04-20,68,34,0.00,0.0
2020-04-21,71,35,0.00,0.0
2020-04-22,69,40,0,0.0
2020-04-23,71,43,0.00,0.0
2020-04-24,63,40,0.05,0.0
2020-04-25,65,39,0.03,0.0
2020-04-26,72,39,0.00,0.0
2020-04-27,81,40,0.00,0.0
2020-04-28,74,51,0.00,0.0
2020-04-29,72,37,0.00,0.0
2020-04-30,78,44,0.00,0.0
2020-05-01,82,54,0,0.0
2020-05-02,67,51,0.12,0.0
2020-05-03,74,49,0,0.0
2020-05-04,65,46,0.21,0.0
2020-05-05,72,35,0.00,0.0
2020-05-06,69,37,0.00,0.0
2020-05-07,72,43,0.00,0.0
2020-05-08,61,37,0.00,0.0
2020-05-09,59,45,0.00,0.0
2020-05-10,62,39,0.00,0.0
2020-05-11,59,34,0.16,0.0
2020-05-12,61,38,0.01,0.0
2020-05-13,76,40,0,0.0
2020-05-14,68,49,0.74,0.0
2020-05-15,64,50,0.08,0.0
2020-05-16,72,48,0.01,0.0
2020-05-17,71,40,0.00,0.0
2020-05-18,84,48,0.00,0.0
2020-05-19,89,52,0.00,0.0
2020-05-20,88,59,0.00,0.0
2020-05-21,75,46,0.00,0.0
2020-05-22,80,44,0.00,0.0
2020-05-23,79,51,0.00,0.0
2020-05-24,64,46,0.64,0.0
2020-05-25,67,38,0,0.0
2020-05-26,81,40,0,0.0
2020-05-27,82,49,0.09,0.0
2020-05-28,74,54,0,0.0
2020-05-29,85,52,0,0.0
2020-05-30,82,47,0.11,0.0
2020-05-31,88,57,0.38,0.0
2020-06-01,92,56,0.00,0.0
2020-06-02,88,60,0,0.0
2020-06-03,89,57,0,0.0
2020-06-04,90,56,0,0.0
2020-06-05,94,56,0,0.0
2020-06-06,84,62,0.39,0.0
2020-06-07,89,48,0.00,0.0
2020-06-08,76,51,0,0.0
2020-06-09,69,42,0.57,0.0
2020-06-10,77,49,0.00,0.0
2020-06-11,83,47,0.00,0.0
2020-06-12,90,51,0.00,0.0
2020-06-13,86,55,0,0.0
2020-06-14,89,60,0,0.0
2020-06-15,88,55,0.00,0.0
2020-06-16,92,54,0.00,0.0
2020-06-17,92,55,0.00,0.0
2020-06-18,78,54,0.04,0.0
2020-06-19,66,52,0.19,0.0
2020-06-20,84,45,0.00,0.0
2020-06-21,80,62,0.01,0.0
2020-06-22,84,53,0,0.0
2020-06-23,85,55,0.01,0.0
2020-06-24,90,55,0.03,0.0
2020-06-25,87,55,0.01,0.0
2020-06-26,77,55,0.01,0.0
2020-06-27,86,53,0,0.0
2020-06-28,91,54,0,0.0
2020-06-29,91,56,0.00,0.0
2020-06-30,82,56,0.07,0.0
2020-07-01,85,50,0.02,0.0
2020-07-02,92,53,0.00,0.0
2020-07-03,89,60,0.00,0.0
2020-07-04,84,59,0,0.0
2020-07-05,89,55,0,0.0
2020-07-06,94,55,0,0.0
2020-07-07,96,58,0,0.0
2020-07-08,95,54,0.00,0.0
2020-07-09,91,58,0.00,0.0
2020-07-10,99,58,0.00,0.0
2020-07-11,91,61,0.00,0.0
2020-07-12,95,60,0.00,0.0
2020-07-13,95,62,0.06,0.0
2020-07-14,73,59,0,0.0
2020-07-15,77,58,0.03,0.0
2020-07-16,93,55,0,0.0
2020-07-17,95,59,0.00,0.0
2020-07-18,96,60,0,0.0
2020-07-19,87,66,0,0.0
2020-07-20,90,59,0,0.0
2020-07-21,87,61,0.00,0.0
2020-07-22,90,58,0,0.0
2020-07-23,92,65,0,0.0
2020-07-24,89,66,0,0.0
2020-07-25,84,64,0,0.0
2020-07-26,82,63,0,0.0
2020-07-27,86,58,0.00,0.0
