date,max_temperature,min_temperature,precipitation,snowfall
2020-01-01,28,4,0,0
2020-01-02,28,13,0.26,3.0
2020-01-03,23,12,0,0
2020-01-04,29,12,0,0
2020-01-05,41,18,0,0
2020-01-06,35,10,0.24,3.0
2020-01-07,21,9,0.12,1.0
2020-01-08,34,14,0,0
2020-01-09,37,14,0,0
2020-01-10,24,-0,0,0
2020-01-11,20,4,0,0
2020-01-12,24,10,0,0
2020-01-13,20,10,0,0
2020-01-14,22,13,0.12,1.0
2020-01-15,29,11,0.10,1.0
2020-01-16,32,-2,0,0
2020-01-17,41,8,0.00,0.0
2020-01-18,30,7,0.23,3.0
2020-01-19,27,11,0,0
2020-01-20,33,6,0.00,0.0
2020-01-21,42,20,0.00,0.0
2020-01-22,37,21,0.05,0.5
2020-01-23,28,13,0.08,1.0
2020-01-24,29,15,0,0
2020-01-25,35,21,0,0
2020-01-26,30,18,0.11,1.0
2020-01-27,35,19,0,0
2020-01-28,31,12,0,0
2020-01-29,30,13,0,0
2020-01-30,31,14,0,0
2020-01-31,22,8,0.10,1.0
2020-02-01,30,18,0,0
2020-02-02,45,23,0.00,0.0
2020-02-03,50,14,0,0
2020-02-04,15,-12,0.37,4.0
2020-02-05,5,-17,0.07,0.5
2020-02-06,16,-5,0,0
2020-02-07,21,12,0.24,3.0
2020-02-08,26,17,0.45,5.0
2020-02-09,36,13,0.22,3.0
2020-02-10,18,9,0.23,2.5
2020-02-11,22,-15,0.26,2.5
2020-02-12,34,2,0,0
2020-02-13,23,-5,0.09,1.0
2020-02-14,26,4,0,0
2020-02-15,39,21,0,0
2020-02-16,30,16,0.12,1.0
2020-02-17,35,13,0.45,8.0
2020-02-18,16,-3,0.11,1.0
2020-02-19,25,-6,0,0
2020-02-20,18,-21,0.08,0.5
2020-02-21,36,-7,0,0
2020-02-22,43,25,0.00,0.0
2020-02-23,44,23,0,0
2020-02-24,32,19,0.17,1.5
2020-02-25,20,3,0.16,1.5
2020-02-26,13,-6,0,0
2020-02-27,26,9,0.10,1.0
2020-02-28,29,15,0,0
2020-02-29,41,18,0.00,0.0
2020-03-01,40,22,0.00,0.0
2020-03-02,37,5,0.16,2.0
2020-03-03,29,18,0.04,0.5
2020-03-04,45,21,0.00,0.0
2020-03-05,41,16,0.00,0.0
2020-03-06,44,25,0.00,0.0
2020-03-07,53,22,0.00,0.0
2020-03-08,52,25,0.00,0.0
2020-03-09,50,25,0.09,1.0
2020-03-10,40,25,0,0
2020-03-11,35,25,0.17,1.5
2020-03-12,46,25,0.30,2.5
2020-03-13,44,15,0,0
2020-03-14,32,14,0.13,1.0
2020-03-15,47,23,0,0
2020-03-16,47,21,0.00,0.0
2020-03-17,49,20,0.00,0.0
2020-03-18,50,22,0.00,0.0
2020-03-19,45,22,0.43,5.0
2020-03-20,27,9,0.98,12.0
2020-03-21,36,10,0,0
2020-03-22,36,15,0,0
2020-03-23,34,15,0,0
2020-03-24,41,15,0.26,0.5
2020-03-25,42,25,0,0
2020-03-26,42,27,0,0
2020-03-27,45,14,0,0
2020-03-28,30,9,0.30,5.0
2020-03-29,30,9,0,0
2020-03-30,40,12,0,0
2020-03-31,44,15,0,0
2020-04-01,48,25,0,0
2020-04-02,50,25,0,0
2020-04-03,33,5,0.23,3.0
2020-04-04,30,4,0,0
2020-04-05,46,22,0.00,0.0
2020-04-06,50,23,0.00,0.0
2020-04-07,52,30,0.00,0.0
2020-04-08,50,30,0.00,0.0
2020-04-09,50,20,0.00,0.0
2020-04-10,50,21,0.00,0.0
2020-04-11,54,29,0,0
2020-04-12,49,10,0.24,4.0
2020-04-13,18,-6,0.32,6.0
2020-04-14,11,-10,0.34,4.0
2020-04-15,25,2,0.18,2.0
2020-04-16,32,13,0.96,14.0
2020-04-17,20,-2,0.27,4.0
2020-04-18,38,11,0.00,0.0
2020-04-19,43,15,0,0
2020-04-20,45,24,0,0
2020-04-21,48,19,0,0
2020-04-22,52,20,0.00,0.0
2020-04-23,49,28,0,0
2020-04-24,47,25,0.34,3.0
2020-04-25,43,25,0,0
2020-04-26,47,27,0,0
2020-04-27,52,32,0,0
2020-04-28,58,34,0.00,0.0
2020-04-29,52,26,0.00,0.0
2020-04-30,62,36,0.00,0.0
2020-05-01,67,33,0,0.0
2020-05-02,62,36,0,0.0
2020-05-03,55,30,0.14,0
2020-05-04,59,31,0.14,1.0
2020-05-05,42,27,0,0
2020-05-06,52,20,0.00,0.0
2020-05-07,56,22,0.00,0.0
2020-05-08,49,22,0.00,0.0
2020-05-09,55,22,0,0
2020-05-10,53,20,0,0
2020-05-11,52,24,0.00,0.0
2020-05-12,55,31,0.27,1.0
2020-05-13,61,33,0,0.0
2020-05-14,59,34,0,0
2020-05-15,56,33,0,0
2020-05-16,52,32,0.28,0
2020-05-17,54,27,0,0.0
2020-05-18,68,31,0.00,0.0
2020-05-19,75,40,0.00,0.0
2020-05-20,73,37,0.00,0.0
2020-05-21,71,34,0.00,0.0
2020-05-22,62,26,0.00,0.0
2020-05-23,68,32,0.00,0.0
2020-05-24,65,30,0.07,1.0
2020-05-25,37,24,0.25,2.0
2020-05-26,50,26,0,0.0
2020-05-27,63,42,0.00,0.0
2020-05-28,65,34,0.01,0.0
2020-05-29,66,34,0,0.0
2020-05-30,77,39,0,0.0
2020-05-31,72,39,0.12,0.0
