date,min_temperature,max_temperature,precipitation,snowfall
2020-01-01,37,6,0.00,0.0
2020-01-02,34,19,0.02,0
2020-01-03,32,18,0,0
2020-01-04,34,21,0.00,0.0
2020-01-05,50,18,0.00,0.0
2020-01-06,41,16,0,0
2020-01-07,29,16,0,0
2020-01-08,41,21,0.00,0.0
2020-01-09,45,22,0,0.0
2020-01-10,30,5,0.04,0.5
2020-01-11,25,10,0.00,0.0
2020-01-12,29,9,0,0.0
2020-01-13,25,9,0,0
2020-01-14,30,18,0.00,0.0
2020-01-15,38,16,0,0
2020-01-16,35,-4,0.00,0.0
2020-01-17,48,-4,0.00,0.0
2020-01-18,39,15,0.05,2.0
2020-01-19,33,17,0.00,0.0
2020-01-20,39,15,0.00,0.0
2020-01-21,45,17,0.00,0.0
2020-01-22,39,27,0,0
2020-01-23,36,20,0,0
2020-01-24,33,21,0,0
2020-01-25,41,23,0,0
2020-01-26,38,24,0,0
2020-01-27,43,22,0.00,0.0
2020-01-28,36,20,0.00,0.0
2020-01-29,36,19,0.00,0.0
2020-01-30,37,19,0,0.0
2020-01-31,25,8,0.08,1.0
2020-02-01,37,22,0.00,0.0
2020-02-02,51,30,0.00,0.0
2020-02-03,58,16,0,0
2020-02-04,16,-3,0.20,1.5
2020-02-05,5,-12,0,0
2020-02-06,20,-0,0,0
2020-02-07,27,19,0.04,0
2020-02-08,31,14,0.19,3.0
2020-02-09,41,18,0.08,1.0
2020-02-10,21,5,0.05,1.0
2020-02-11,27,-3,0.11,1.0
2020-02-12,36,-2,0,0
2020-02-13,30,1,0,0
2020-02-14,33,15,0.00,0.0
2020-02-15,44,27,0.00,0.0
2020-02-16,37,25,0.01,0
2020-02-17,37,18,0.14,2.5
2020-02-18,23,-3,0,0
2020-02-19,30,-5,0.00,0.0
2020-02-20,20,-6,0,0
2020-02-21,41,-1,0.00,0.0
2020-02-22,48,17,0.00,0.0
2020-02-23,49,25,0,0
2020-02-24,33,21,0.08,0
2020-02-25,24,9,0,0
2020-02-26,18,-3,0,0
2020-02-27,32,10,0,0
2020-02-28,34,23,0.00,0.0
2020-02-29,46,17,0.00,0.0
2020-03-01,45,24,0.00,0.0
2020-03-02,43,9,0.21,4.0
