date,max_temperature,min_temperature,precipitation,snowfall
2020-01-01,38,-5,0.00,0.0
2020-01-02,44,18,0.00,0.0
2020-01-03,32,19,0.00,0.0
2020-01-04,38,23,0.00,0.0
2020-01-05,51,24,0.00,0.0
2020-01-06,41,19,0.00,0.0
2020-01-07,34,23,0.00,0.0
2020-01-08,44,8,0.00,0.0
2020-01-09,46,9,0.00,0.0
2020-01-10,33,3,0,0
2020-01-11,23,-2,0.00,0.0
2020-01-12,38,5,0,0
2020-01-13,27,6,0.00,0.0
2020-01-14,31,7,0,0
2020-01-15,40,5,0.00,0.0
2020-01-16,39,5,0.00,0.0
2020-01-17,44,9,0.00,0.0
2020-01-18,38,10,0,0
2020-01-19,40,4,0.00,0.0
2020-01-20,35,2,0.00,0.0
2020-01-21,41,8,0.00,0.0
2020-01-22,44,17,0.00,0.0
2020-01-23,39,19,0.00,0.0
2020-01-24,36,14,0.00,0.0
2020-01-25,44,21,0.00,0.0
2020-01-26,41,26,0.00,0.0
2020-01-27,48,19,0.00,0.0
2020-01-28,39,11,0.11,1.5
2020-01-29,34,10,0,0
2020-01-30,33,-2,0.12,2.5
2020-01-31,30,-3,0.00,0.0
2020-02-01,44,25,0.00,0.0
2020-02-02,52,14,0.00,0.0
2020-02-03,55,17,0.00,0.0
2020-02-04,20,-3,0.24,5.4
2020-02-05,11,-21,0.00,0.0
2020-02-06,22,-13,0.00,0.0
2020-02-07,33,14,0.43,6.0
2020-02-08,33,10,0.11,2.0
2020-02-09,45,17,0.12,4.5
2020-02-10,22,-4,0.06,1.5
2020-02-11,25,-8,0.37,5.2
2020-02-12,27,-5,0.00,0.0
2020-02-13,25,-11,0.08,1.5
2020-02-14,35,-8,0.00,0.0
2020-02-15,47,14,0.00,0.0
2020-02-16,43,23,0.00,0.0
2020-02-17,44,14,0.00,0.0
2020-02-18,40,3,0.07,1.1
2020-02-19,26,-2,0.00,0.0
2020-02-20,17,-13,0.05,1.3
2020-02-21,30,-9,0.00,0.0
2020-02-22,44,4,0.00,0.0
2020-02-23,52,24,0.00,0.0
2020-02-24,33,10,0,0
2020-02-25,31,1,0.08,1.0
2020-02-26,18,-14,0.01,0.3
2020-02-27,36,2,0.00,0.0
2020-02-28,39,22,0.00,0.0
2020-02-29,49,20,0.00,0.0
2020-03-01,49,12,0.00,0.0
2020-03-02,46,13,0.10,1.6
2020-03-03,40,21,0.00,0.0
2020-03-04,49,14,0.00,0.0
2020-03-05,52,22,0.00,0.0
2020-03-06,51,15,0.00,0.0
2020-03-07,55,22,0.00,0.0
2020-03-08,54,26,0.00,0.0
2020-03-09,56,24,0,0.0
2020-03-10,50,19,0.00,0.0
2020-03-11,50,29,0.00,0.0
2020-03-12,57,29,0.00,0.0
2020-03-13,53,24,0.00,0.0
2020-03-14,47,17,0,0
2020-03-15,51,18,0.00,0.0
2020-03-16,55,19,0.00,0.0
2020-03-17,55,24,0.00,0.0
2020-03-18,59,19,0.00,0.0
2020-03-19,54,27,0.32,3.8
2020-03-20,32,12,0.46,5.9
2020-03-21,39,11,0.00,0.0
2020-03-22,45,12,0.13,1.5
2020-03-23,43,14,0.00,0.0
2020-03-24,50,18,0.00,0.0
2020-03-25,54,25,0.00,0.0
2020-03-26,54,24,0.00,0.0
2020-03-27,57,28,0.00,0.0
2020-03-28,47,22,0.05,0.5
2020-03-29,37,21,0.00,0.0
2020-03-30,45,28,0,0
2020-03-31,46,24,0.01,0.0
2020-04-01,60,22,0.00,0.0
2020-04-02,60,26,0.00,0.0
2020-04-03,33,17,0.03,0.9
2020-04-04,32,15,0.00,0.0
2020-04-05,54,20,0.00,0.0
2020-04-06,60,21,0.00,0.0
2020-04-07,61,24,0.00,0.0
2020-04-08,63,21,0.00,0.0
2020-04-09,62,21,0.00,0.0
2020-04-10,57,24,0.00,0.0
2020-04-11,61,0,0.00,0.0
2020-04-12,60,16,0.13,1.8
2020-04-13,22,7,0.13,1.9
2020-04-14,22,-6,0.05,1.0
2020-04-15,35,5,0.00,0.0
2020-04-16,46,23,0.28,4.5
2020-04-17,30,-2,0.21,2.9
2020-04-18,49,17,0.00,0.0
2020-04-19,50,27,0,0
2020-04-20,53,22,0.00,0.0
2020-04-21,57,25,0.00,0.0
2020-04-22,58,27,0.05,0.0
2020-04-23,55,25,0,0.0
2020-04-24,57,27,0,0.0
2020-04-25,54,25,0.00,0.0
2020-04-26,57,25,0.00,0.0
2020-04-27,67,27,0.00,0.0
2020-04-28,69,36,0.00,0.0
2020-04-29,65,25,0.00,0.0
2020-04-30,66,31,0.00,0.0
2020-05-01,74,31,0.00,0.0
2020-05-02,77,42,0.00,0.0
2020-05-03,62,29,0.00,0.0
2020-05-04,72,39,0.00,0.0
2020-05-05,63,26,0.00,0.0
2020-05-06,64,24,0.00,0.0
2020-05-07,67,26,0.00,0.0
2020-05-08,67,29,0.00,0.0
2020-05-09,58,24,0.00,0.0
2020-05-10,57,24,0.00,0.0
2020-05-11,58,26,0.00,0.0
2020-05-12,51,30,0.01,0.0
2020-05-13,70,29,0.00,0.0
2020-05-14,70,29,0.00,0.0
2020-05-15,64,38,0.00,0.0
2020-05-16,61,35,0,0.0
2020-05-17,65,30,0.00,0.0
2020-05-18,75,39,0.00,0.0
2020-05-19,83,36,0.00,0.0
2020-05-20,81,42,0.00,0.0
2020-05-21,75,27,0.00,0.0
2020-05-22,69,29,0.00,0.0
2020-05-23,74,34,0.00,0.0
2020-05-24,71,39,0,0.0
2020-05-25,44,30,0.65,0.0
2020-05-26,56,26,0.00,0.0
2020-05-27,71,36,0.00,0.0
2020-05-28,73,37,0.11,0.0
2020-05-29,70,34,0.04,0.0
2020-05-30,81,44,0.12,0.0
2020-05-31,76,44,0,0.0
2020-06-01,78,47,0,0.0
2020-06-02,78,54,0,0.0
2020-06-03,77,41,0.00,0.0
2020-06-04,80,41,0.00,0.0
2020-06-05,77,41,0.00,0.0
2020-06-06,84,48,0,0.0
2020-06-07,71,33,0.31,0.0
2020-06-08,78,37,0.00,0.0
2020-06-09,69,32,0.37,0.5
2020-06-10,54,33,0.00,0.0
2020-06-11,69,33,0.00,0.0
2020-06-12,73,35,0.00,0.0
2020-06-13,81,45,0.00,0.0
2020-06-14,78,43,0.04,0.0
2020-06-15,79,33,0.00,0.0
2020-06-16,80,40,0.00,0.0
2020-06-17,82,41,0.00,0.0
2020-06-18,83,37,0.00,0.0
2020-06-19,63,42,0.30,0.0
2020-06-20,58,34,0.03,0.0
2020-06-21,75,45,0.00,0.0
2020-06-22,66,38,0.00,0.0
2020-06-23,74,39,0.02,0.0
2020-06-24,77,42,0.06,0.0
2020-06-25,66,43,0.43,0.0
2020-06-26,80,41,0.00,0.0
2020-06-27,77,40,0.20,0.0
2020-06-28,78,44,0.00,0.0
2020-06-29,78,45,0.00,0.0
2020-06-30,80,43,0.00,0.0
2020-07-01,73,34,0.00,0.0
2020-07-02,80,43,0.00,0.0
2020-07-03,84,46,0.00,0.0
2020-07-04,81,49,0,0.0
2020-07-05,81,41,0,0.0
2020-07-06,80,42,0.19,0.0
2020-07-07,83,45,0.01,0.0
2020-07-08,86,34,0.00,0.0
2020-07-09,85,41,0.00,0.0
2020-07-10,85,40,0.00,0.0
2020-07-11,89,41,0.00,0.0
2020-07-12,88,48,0.00,0.0
2020-07-13,83,61,0.00,0.0
2020-07-14,87,50,0.04,0.0
2020-07-15,83,45,0.07,0.0
2020-07-16,78,48,0.00,0.0
2020-07-17,83,45,0.00,0.0
2020-07-18,83,45,0.04,0.0
2020-07-19,82,50,0.09,0.0
2020-07-20,82,45,0.00,0.0
2020-07-21,83,44,0.00,0.0
2020-07-22,84,46,0.00,0.0
2020-07-23,83,50,0,0.0
2020-07-24,80,54,0.00,0.0
2020-07-25,80,49,0.52,0.0
2020-07-26,72,49,0.62,0.0
2020-07-27,72,44,0.19,0.0
2020-07-28,73,47,0.00,0.0
2020-07-29,72,40,0.20,0.0
2020-07-30,78,40,0,0.0
2020-07-31,75,44,0.03,0.0
2020-08-01,78,40,0.19,0.0
2020-08-02,78,49,0.00,0.0
2020-08-03,75,44,0.08,0.0
2020-08-04,80,46,0.05,0.0
2020-08-05,83,46,0.00,0.0
2020-08-06,80,50,0.00,0.0
2020-08-07,77,36,0,0.0
2020-08-08,84,40,0.00,0.0
2020-08-09,83,42,0.00,0.0
2020-08-10,83,42,0.00,0.0
2020-08-11,80,45,0.00,0.0
2020-08-12,82,39,0.00,0.0
2020-08-13,83,39,0.00,0.0
2020-08-14,88,39,0.00,0.0
2020-08-15,86,41,0.00,0.0
2020-08-16,86,42,0.00,0.0
2020-08-17,84,44,0.00,0.0
2020-08-18,85,46,0.00,0.0
2020-08-19,86,44,0,0.0
2020-08-20,78,42,0,0.0
2020-08-21,84,43,0.01,0.0
2020-08-22,84,43,0.00,0.0
2020-08-23,84,41,0.00,0.0
2020-08-24,85,42,0.00,0.0
2020-08-25,84,51,0,0.0
2020-08-26,86,43,0.00,0.0
2020-08-27,83,44,0,0.0
2020-08-28,84,53,0.21,0.0
2020-08-29,64,45,0.16,0.0
2020-08-30,67,42,0.06,0.0
2020-08-31,77,35,0.00,0.0
2020-09-01,78,40,0.18,0.0
2020-09-02,78,35,0.00,0.0
2020-09-03,82,39,0.00,0.0
2020-09-04,79,39,0.00,0.0
2020-09-05,84,38,0.00,0.0
2020-09-06,87,38,0.00,0.0
2020-09-07,85,40,0.00,0.0
2020-09-08,80,29,0.03,0.0
2020-09-09,32,23,0.31,2.5
2020-09-10,33,28,0.05,0.5
2020-09-11,49,29,0.13,0.0
2020-09-12,66,31,0.00,0.0
2020-09-13,73,30,0.00,0.0
2020-09-14,76,32,0.00,0.0
2020-09-15,78,34,0.00,0.0
2020-09-16,77,33,0.00,0.0
2020-09-17,70,36,0.00,0.0
2020-09-18,76,34,0.00,0.0
2020-09-19,77,41,0.00,0.0
2020-09-20,73,38,0.00,0.0
2020-09-21,76,33,0.00,0.0
2020-09-22,79,38,0.00,0.0
2020-09-23,73,39,0.00,0.0
2020-09-24,73,33,0.00,0.0
2020-09-25,81,32,0.00,0.0
2020-09-26,80,38,0.00,0.0
2020-09-27,78,33,0.00,0.0
2020-09-28,54,26,0.00,0.0
2020-09-29,55,23,0.00,0.0
2020-09-30,74,26,0.00,0.0
2020-10-01,67,24,0.00,0.0
2020-10-02,63,27,0.00,0.0
2020-10-03,70,25,0.00,0.0
2020-10-04,61,24,0.00,0.0
2020-10-05,75,28,0.00,0.0
2020-10-06,73,24,0.00,0.0
2020-10-07,76,27,0.00,0.0
2020-10-08,75,28,0.00,0.0
2020-10-09,76,31,0.00,0.0
2020-10-10,74,31,0.00,0.0
2020-10-11,74,32,0.00,0.0
2020-10-12,65,36,0.04,0.0
2020-10-13,64,28,0.00,0.0
2020-10-14,72,40,0.00,0.0
2020-10-15,72,31,0.00,0.0
2020-10-16,54,16,0.00,0.0
2020-10-17,64,20,0.00,0.0
2020-10-18,64,33,0.00,0.0
2020-10-19,68,39,0.00,0.0
2020-10-20,68,28,0.00,0.0
2020-10-21,69,25,0.00,0.0
2020-10-22,70,26,0.00,0.0
2020-10-23,62,16,0,0.0
2020-10-24,53,16,0.00,0.0
2020-10-25,65,11,0,0
2020-10-26,12,-3,0.44,6.7
2020-10-27,14,-5,0.00,0.0
2020-10-28,33,-3,0.00,0.0
2020-10-29,46,14,0.00,0.0
2020-10-30,53,17,0.00,0.0
2020-10-31,53,17,0.00,0.0
2020-11-01,54,16,0.00,0.0
2020-11-02,61,22,0.00,0.0
2020-11-03,58,23,0.00,0.0
2020-11-04,62,25,0.00,0.0
2020-11-05,63,24,0.00,0.0
2020-11-06,57,27,0.00,0.0
2020-11-07,62,27,0.00,0.0
2020-11-08,59,34,0,0.0
2020-11-09,42,20,0.17,0.7
2020-11-10,31,13,0.15,2.0
2020-11-11,34,8,0.00,0.0
2020-11-12,38,11,0.00,0.0
2020-11-13,36,5,0.00,0.0
2020-11-14,46,28,0.00,0.0
2020-11-15,37,17,0,0
2020-11-16,46,37,0.00,0.0
2020-11-17,55,22,0.00,0.0
2020-11-18,57,25,0.00,0.0
2020-11-19,60,37,0.00,0.0
2020-11-20,57,19,0.00,0.0
2020-11-21,45,20,0.00,0.0
2020-11-22,50,9,0.00,0.0
2020-11-23,40,14,0.00,0.0
2020-11-24,50,25,0.43,6.5
2020-11-25,27,2,0.03,1.0
2020-11-26,41,5,0.00,0.0
2020-11-27,39,5,0.00,0.0
2020-11-28,31,7,0.00,0.0
2020-11-29,39,6,0.00,0.0
2020-11-30,26,2,0.00,0.0
2020-12-01,43,4,0.00,0.0
2020-12-02,30,1,0.08,2.1
2020-12-03,22,-2,0.00,0.0
2020-12-04,30,2,0.00,0.0
2020-12-05,40,7,0.00,0.0
2020-12-06,37,9,0.00,0.0
2020-12-07,39,9,0.00,0.0
2020-12-08,40,9,0.00,0.0
2020-12-09,52,6,0.00,0.0
2020-12-10,47,9,0.00,0.0
2020-12-11,34,17,0.07,0.8
2020-12-12,23,-4,0.02,0.3
2020-12-13,26,-8,0.02,0.5
2020-12-14,31,-5,0.00,0.0
2020-12-15,34,9,0.10,1.6
