x_m,y_m,spp,spp_code,status_mpb,dbh_cm
0,40,X,8,-99,-99
0,50,X,8,-99,-99
0,60,X,8,-99,-99
0,80,X,8,-99,-99
0,110,X,8,-99,-99
30,0,X,8,-99,-99
30,10,X,8,-99,-99
30,70,X,8,-99,-99
40,140,X,8,-99,-99
50,140,X,8,-99,-99
70,80,X,8,-99,-99
80,10,X,8,-99,-99
90,20,X,8,-99,-99
100,60,X,8,-99,-99
110,60,X,8,-99,-99
120,90,X,8,-99,-99
140,100,X,8,-99,-99
140,110,X,8,-99,-99
150,0,x,8,-99,-99
150,100,X,8,-99,-99
150,110,X,8,-99,-99
150,120,X,8,-99,-99
160,100,X,8,-99,-99
160,110,X,8,-99,-99
160,120,X,8,-99,-99
170,110,X,8,-99,-99
180,90,X,8,-99,-99
180,100,X,8,-99,-99
190,20,X,8,-99,-99
190,70,X,8,-99,-99
190,90,X,8,-99,-99
190,100,X,8,-99,-99
200,20,X,8,-99,-99
200,40,X,8,-99,-99
200,60,X,8,-99,-99
200,90,X,8,-99,-99
200,100,X,8,-99,-99
200,110,X,8,-99,-99
200,140,X,8,-99,-99
210,20,X,8,-99,-99
210,30,X,8,-99,-99
210,40,X,8,-99,-99
210,50,X,8,-99,-99
210,90,X,8,-99,-99
210,120,X,8,-99,-99
220,20,X,8,-99,-99
220,30,X,8,-99,-99
220,50,X,8,-99,-99
220,80,X,8,-99,-99
130,90,QA,7,1,2.54
160,130,QA,7,1,2.54
80,140,QA,7,1,5.08
130,90,QA,7,1,5.08
170,0,QA,7,1,5.08
170,120,QA,7,1,5.08
180,120,QA,7,1,5.08
180,130,QA,7,1,5.08
210,80,QA,7,1,5.08
220,100,QA,7,1,5.08
220,110,QA,7,1,5.08
20,0,PP,6,1,7.62
20,140,QA,7,1,7.62
30,40,PP,6,1,7.62
80,90,PP,6,1,7.62
80,110,PP,6,1,7.62
90,130,QA,7,1,7.62
90,130,QA,7,1,7.62
100,140,PP,6,1,7.62
150,30,QA,7,1,7.62
150,140,QA,7,1,7.62
150,140,QA,7,1,7.62
170,130,QA,7,1,7.62
170,140,QA,7,1,7.62
180,140,QA,7,1,7.62
